word,phonetic,meaning,example,level,source,source_url,source_pdf_page
accident accidental,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accommodate accommodation,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accompany,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accomplish accomplishment,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accord,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accordance,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accordingto,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accordingly,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
account accounting accountant accountancy,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accountable accountability,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accumulate accumulation accumulative,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accurate accuracy,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accuse accusation,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
accustom accustomed,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,21
ace,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
ache,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
achieve achievement,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
acid acidity,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
acknowledge acknowledgement,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
acquaint acquaintance,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
acquire acquisition,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
acre,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
across,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
act action acting,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
active activity activist,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
actor actress,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
actual actually,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
acute,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adapt adaptation adaptive,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
add addition additional,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
addict addiction addictive,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
address,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adequate adequacy adequately,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adjective,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adjust adjustment,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
administer/administrate administration administrative,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
admire admiration admirable,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
admit admission admittance admittedly,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adopt adoption,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adult adulthood,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
advance advancement advanced,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
advantage advantageous,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adventure adventurer adventurous,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
adverb,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
advertise advertisement/ad advertising,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
advice,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
advise advisor/-er advisory advisable,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,22
advocate advocacy,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
aerial,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
affair,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
affect,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
affection affectionate,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
affluent affluence,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
afford affordable affordability,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
afraid,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
after,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
afternoon,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
afterward(s),官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
again,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
against,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
age aged ag(e)ing,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
agenda,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
agent agency,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
aggressive aggression,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
ago,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
agree agreement agreeable,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
agriculture agricultural,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
ahead,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
aid,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
AIDS,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
aim,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
air,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
air-conditioning air-conditioner,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
aircraft,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
airline,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
airplane/aeroplane,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,23
airport,官方词表未提供读音,官方《全国大学英语四、六级考试大纲（2016年修订版）》词表词目；官方未提供释义,官方词表只列词形，不列例句,1,全国大学英语四、六级考试大纲（2016年修订版）,https://cet.neea.edu.cn/res/Home/1704/55b02330ac17274664f06d9d3db8249d.pdf,24
